english_name,chinese_name,district_code,district_en,district_zh,gazette_date,gazette_notice,gazette_date_raw
FU TSUI STREET,富翠街,E,Eastern,東區,1987-01-23,307,31800
FU TUNG STREET,富東街,Is,Islands,離島,1997-04-25,2008,35545
FU UK ROAD,傅屋路,TW,Tsuen  Wan,荃灣,1970-03-06,535,25633
FU WAH STREET,富華街,TW,Tsuen  Wan,荃灣,1973-03-16,704,26739
FU WAN STREET,富運街,WTS,Wong Tai Sin,黃大仙,1966-07-29,1951,24317
FU WING STREET,富榮街,TW,Tsuen  Wan,荃灣,1973-03-16,704,26739
FU YAN STREET,輔仁街,KT,Kwun Tong,觀塘,1957-02-22,264,20873
FU YAN STREET,輔仁街,KT,Kwun Tong,觀塘,1961-01-13,50,22294
FU YAN STREET,輔仁街,KT,Kwun Tong,觀塘,1967-01-13,87,24485
FU YEE ROAD,富怡道,E,Eastern,東區,1998-05-01,2182,35916
FU YIP STREET,富業街,YL,Yuen Long,元朗,1983-01-28,325,30344
FU YUE STREET,富裕街,WTS,Wong Tai Sin,黃大仙,1966-07-29,1951,24317
FU YUNG SHAN ROAD,芙蓉山路,TW,Tsuen  Wan,荃灣,1997-10-17,1883,35720
FU YUNG STREET,芙蓉街,TW,Tsuen  Wan,荃灣,1963-06-21,1134,23183
FUI SHA WAI LANE,灰沙圍里,YL,Yuen Long,元朗,1985-09-13,3022,31303
FUI SHA WAI SOUTH ROAD,灰沙圍南路,YL,Yuen Long,元朗,1997-01-31,565,35461
FUI SHA WAI SOUTH ROAD,灰沙圍南路,YL,Yuen Long,元朗,1997-02-14,753,35475
FUI YIU KOK STREET,灰窰角街,TW,Tsuen  Wan,荃灣,1966-02-18,470,24156
FUI YIU LANE,灰窰里,SK,Sai  Kung,西貢,1994-07-29,2827,34544
FUK CHAK STREET,福澤街,YTM,Yau Tsim Mong,油尖旺,1963-09-06,1736,23260
FUK CHEUNG STREET,福祥街,KC,Kowloon  City,九龍城,1965-04-02,836,23834
FUK CHI STREET,福至街,KC,Kowloon  City,九龍城,1980-05-23,1581,29364
FUK HANG STREET,福恆街,YL,Yuen Long,元朗,1984-05-04,1312,30806
FUK HANG TSUEN LANE,福亨村里,TM,Tuen  Mun,屯門,1999-01-08,114,36168
FUK HANG TSUEN PATH,福亨村徑,TM,Tuen  Mun,屯門,2004-02-06,959,38023
FUK HANG TSUEN ROAD,福亨村路,TM,Tuen  Mun,屯門,1990-05-04,1617,32997
FUK HANG TSUEN ROAD,福亨村路,TM,Tuen  Mun,屯門,1993-12-10,4543,34313
FUK HI STREET,福喜街,YL,Yuen Long,元朗,1984-05-04,1312,30806
FUK KWAN AVENUE,福群道,WC,Wan  Chai,灣仔,1931-02-13,86,11367
FUK LEE STREET,福利街,YTM,Yau Tsim Mong,油尖旺,1958-05-30,732,21335
FUK LEE STREET,福利街,YTM,Yau Tsim Mong,油尖旺,2003-03-07,1548,37687
FUK LO TSUN ROAD,福佬村道,KC,Kowloon  City,九龍城,1933-05-12,340,12186
FUK LOI LANE,福來里,TW,Tsuen  Wan,荃灣,1985-10-11,3359,31331
FUK LOK PATH,福樂徑,YL,Yuen Long,元朗,1992-01-24,315,33627
FUK MAN ROAD,福民路,SK,Sai  Kung,西貢,1985-12-27,4229,31408
FUK MAN ROAD,福民路,SK,Sai  Kung,西貢,2015-08-28,6517,42244
FUK NING ROAD,福寧道,KT,Kwun Tong,觀塘,1970-01-23,225,25591
FUK SHING PATH,福盛徑,YL,Yuen Long,元朗,1992-01-24,315,33627
FUK SHUN STREET,福順街,YL,Yuen Long,元朗,1984-05-04,1312,30806
FUK SHUN STREET,福順街,YL,Yuen Long,元朗,1986-09-12,3158,31667
FUK SHUN STREET,福順街,YL,Yuen Long,元朗,2023-03-10,1533,44995
FUK TIN PATH,福田徑,YL,Yuen Long,元朗,1992-01-24,315,33627
FUK TO STREET,福淘街,KT,Kwun Tong,觀塘,2012-06-01,3792,41061
FUK TONG ROAD,福塘道,KT,Kwun Tong,觀塘,1970-01-23,225,25591
FUK TSUN STREET,福全街,YTM,Yau Tsim Mong,油尖旺,1927-11-25,699,10191
FUK WA STREET,福華街,SSP,Sham  Shui  Po,深水埗,1930-08-15,510,11185
FUK WANG STREET,福宏街,YL,Yuen Long,元朗,1984-05-04,1312,30806
FUK WING STREET,福榮街,SSP,Sham  Shui  Po,深水埗,1930-08-15,510,11185
FUK WO ROAD,福和路,TP,Tai  Po,大埔,2000-06-23,3981,36700
FUK YAN STREET,福欣街,YL,Yuen Long,元朗,1984-10-19,3073,30974
FUK YUEN STREET,福元街,E,Eastern,東區,1931-05-15,300,11458
FUK YUEN STREET,福元街,E,Eastern,東區,1931-07-10,436,11514
FUNG CHEUNG PATH,鳳翔徑,YL,Yuen Long,元朗,2017-10-13,7595,43021
FUNG CHEUNG ROAD,鳳翔路,YL,Yuen Long,元朗,1977-12-02,2944,28461
FUNG CHEUNG ROAD,鳳翔路,YL,Yuen Long,元朗,1998-05-22,2487,35937
FUNG CHEUNG ROAD,鳳翔路,YL,Yuen Long,元朗,2000-07-21,4743,36728
FUNG CHEUNG ROAD,鳳翔路,YL,Yuen Long,元朗,2017-10-13,7594,43021
FUNG CHI ROAD,鳳池路,YL,Yuen Long,元朗,1987-08-28,2856,32017
FUNG CHUK ROAD,豐竹路,YL,Yuen Long,元朗,2000-03-31,2031,36616
FUNG FAN PATH,風帆徑,Is,Islands,離島,1997-08-08,624,35650
FUNG HA ROAD,峰霞道,E,Eastern,東區,1991-08-16,2879,33466
FUNG HEUNG STREET,鳳香街,YL,Yuen Long,元朗,1981-12-18,3742,29938
FUNG HEUNG STREET,鳳香街,YL,Yuen Long,元朗,2017-10-13,7594,43021
FUNG KAM STREET,鳳琴街,YL,Yuen Long,元朗,1981-12-18,3742,29938
FUNG KI ROAD,鳳麒路,YL,Yuen Long,元朗,2005-05-27,2493,38499
FUNG KONG TSUEN ROAD,鳳降村路,YL,Yuen Long,元朗,1994-09-09,3384,34586
FUNG KWAN PATH,鳳群徑,YL,Yuen Long,元朗,2017-10-13,7595,43021
FUNG KWAN STREET,鳳群街,YL,Yuen Long,元朗,1981-12-18,3742,29938
FUNG LAI ROAD,鳳禮道,WTS,Wong Tai Sin,黃大仙,1990-02-23,655,32927
FUNG LAM ROAD,鳳林路,N,North,北區,2026-03-27,1839,46108
FUNG LING ROAD,鳳嶺路,N,North,北區,2026-03-27,1839,46108
FUNG LOK LANE,豐樂里,YL,Yuen Long,元朗,1992-01-24,315,33627
FUNG MAT ROAD,豐物道,C&W,Central  &  Western,中西區,1993-05-14,1637,34103
FUNG MAT ROAD,豐物道,C&W,Central  &  Western,中西區,1999-03-12,1363,36231
FUNG MEI PATH,鳳美徑,WTS,Wong Tai Sin,黃大仙,1990-02-23,655,32927
FUNG MO STREET,鳳舞街,WTS,Wong Tai Sin,黃大仙,1963-10-11,2014,23295
FUNG MO STREET,鳳舞街,WTS,Wong Tai Sin,黃大仙,2018-08-10,6060,43322
FUNG NAM LANE,鳳南里,N,North,北區,1999-02-26,970,36217
FUNG NAM ROAD,鳳南路,N,North,北區,1994-01-28,337,34362
FUNG NIN ROAD,豐年路,YL,Yuen Long,元朗,1977-12-02,2944,28461
FUNG ON STREET,豐安街,TM,Tuen  Mun,屯門,1991-07-19,2510,33438
FUNG PING LANE,鳳坪里,SSP,Sham  Shui  Po,深水埗,1984-11-09,3320,30995
FUNG SAU ROAD,鳳秀路,SK,Sai  Kung,西貢,1986-08-15,2817,31639
FUNG SHEK STREET,豐石街,ST,Sha Tin,沙田,1987-02-06,416,31814
FUNG SHING STREET,豐盛街,WTS,Wong Tai Sin,黃大仙,1979-11-09,2896,29168
FUNG SHING STREET,豐盛街,WTS,Wong Tai Sin,黃大仙,1989-07-07,2313,32696
FUNG SHUE WO ROAD,楓樹窩路,K&T,Kwai  Tsing,葵青,1986-09-12,3157,31667
FUNG SHUE WO ROAD,楓樹窩路,K&T,Kwai  Tsing,葵青,1988-07-22,2353,32346
FUNG SHUN STREET,豐順街,ST,Sha Tin,沙田,1983-12-23,3977,30673
FUNG TAK ROAD,鳳德道,WTS,Wong Tai Sin,黃大仙,1963-11-08,2197,23323
FUNG TAK ROAD,鳳德道,WTS,Wong Tai Sin,黃大仙,1988-03-31,1053,32233
FUNG TAK ROAD,鳳德道,WTS,Wong Tai Sin,黃大仙,1991-11-22,4197,33564
FUNG TIN STREET,奉天街,S,Southern,南區,1979-03-16,713,28930
FUNG WAH STREET,豐華街,WTS,Wong Tai Sin,黃大仙,1966-06-30,1684,24288
FUNG WAN ROAD,豐運路,TP,Tai  Po,大埔,1995-10-13,4259,34985
FUNG WO LANE,豐禾里,ST,Sha Tin,沙田,1983-12-23,3977,30673
FUNG YAU PATH,鳳攸徑,YL,Yuen Long,元朗,2017-10-13,7595,43021
FUNG YAU STREET EAST,鳳攸東街,YL,Yuen Long,元朗,1981-12-18,3742,29938
FUNG YAU STREET NORTH,鳳攸北街,YL,Yuen Long,元朗,1981-12-18,3742,29938
FUNG YAU STREET SOUTH,鳳攸南街,YL,Yuen Long,元朗,1981-12-18,3742,29938
FUNG YI STREET,鳳儀街,KC,Kowloon  City,九龍城,1959-04-17,548,21657
FUNG YING PATH,豐盈徑,N,North,北區,2024-05-10,2696,45422
FUNG YIP STREET,豐業街,E,Eastern,東區,1977-05-13,1087,28258
FUNG YU ROAD,豐裕路,YL,Yuen Long,元朗,2016-04-29,2478,42489
FUNG YUEN ROAD,鳳園路,TP,Tai  Po,大埔,1970-04-03,713,25661
FUNG YUEN ROAD,鳳園路,TP,Tai  Po,大埔,2009-03-06,1502,39878
GARDEN ROAD,花園道,C&W,Central  &  Western,中西區,1958-01-03,16,21188
GASCOIGNE ROAD,加士居道,YTM,Yau Tsim Mong,油尖旺,1905-03-17,158,1903
GASCOIGNE ROAD,加士居道,YTM,Yau Tsim Mong,油尖旺,1909-05-28,323,3436
GASCOIGNE ROAD,加士居道,YTM,Yau Tsim Mong,油尖旺,2020-10-16,5984,44120
GASCOIGNE ROAD FLYOVER,加士居道天橋,YTM,Yau Tsim Mong,油尖旺,2020-10-16,5983,44120
GASCOIGNE ROAD FLYOVER,加士居道天橋,YTM,Yau Tsim Mong,油尖旺,2020-10-23,6118,44127
GILLIES AVENUE NORTH,機利士北路,KC,Kowloon  City,九龍城,1988-09-30,3321,32416
GILLIES AVENUE SOUTH,機利士南路,KC,Kowloon  City,九龍城,1988-09-30,3321,32416
GILMAN STREET,機利文街,C&W,Central  &  Western,中西區,1958-06-27,865,21363
GILMAN STREET,機利文街,C&W,Central  &  Western,中西區,1974-05-31,1381,27180
GINKGO ROAD,銀杏路,YL,Yuen Long,元朗,1984-08-31,2609,30925
GLASS STREET,玻璃街,WC,Wan  Chai,灣仔,1931-05-15,300,11458
GLASS STREET,玻璃街,WC,Wan  Chai,灣仔,1931-07-10,436,11514
GLEE PATH,吉利徑,SSP,Sham  Shui  Po,深水埗,1967-12-22,2744,24828
GLENEALY,己連拿利,C&W,Central  &  Western,中西區,1987-05-08,1538,31905
GLOUCESTER ROAD,吿士打道,WC,Wan  Chai,灣仔,1929-06-14,312,10758
GLOUCESTER ROAD,吿士打道,WC,Wan  Chai,灣仔,1962-01-19,121,22665
GLOUCESTER ROAD,吿士打道,WC,Wan  Chai,灣仔,1972-12-29,3318,26662
GOLDEN BAMBOO ROAD EAST,金竹東路,YL,Yuen Long,元朗,1984-08-31,2609,30925
GOLDEN BAMBOO ROAD NORTH,金竹北路,YL,Yuen Long,元朗,1984-08-31,2609,30925
GOLDEN BEACH PATH,黃金泳灘徑,TM,Tuen  Mun,屯門,2011-05-13,2995,40676
GOLDEN HILL ROAD,金山路,ST,Sha Tin,沙田,1980-11-28,3731,29553
GOLDSMITH ROAD,高士美道,WC,Wan  Chai,灣仔,1954-06-25,765,19900
GOOD SHEPHERD STREET,牧愛街,KC,Kowloon  City,九龍城,1975-03-27,703,27480
GOUGH HILL PATH,歌賦山里,C&W,Central  &  Western,中西區,1956-04-13,465,20558
GOUGH HILL ROAD,歌賦山道,C&W,Central  &  Western,中西區,1908-02-07,80,2960
GOUGH HILL ROAD,歌賦山道,C&W,Central  &  Western,中西區,1956-04-13,465,20558
GRAMPIAN ROAD,嘉林邊道,KC,Kowloon  City,九龍城,1932-02-19,107,11738
GRANDEUR ROAD,瑰麗路,SSP,Sham  Shui  Po,深水埗,1997-06-20,3081,35601
GRANVILLE CIRCUIT,嘉蘭圍,YTM,Yau Tsim Mong,油尖旺,1949-07-29,715,18108
GRANVILLE ROAD,加連威老道,YTM,Yau Tsim Mong,油尖旺,1981-08-21,2511,29819
GRANVILLE SQUARE,加連威老廣場,YTM,Yau Tsim Mong,油尖旺,1985-12-13,4096,31394
GREEN LANE,箕璉坊,WC,Wan  Chai,灣仔,1940-02-07,154,14648
GREIG CRESCENT,基利坊,E,Eastern,東區,1978-02-24,464,28545
GREIG ROAD,基利路,E,Eastern,東區,1966-06-24,1628,24282
GREIG ROAD,基利路,E,Eastern,東區,1978-02-24,464,28545
GREIG ROAD,基利路,E,Eastern,東區,1990-10-12,3678,33158
GUILDFORD ROAD,僑福道,C&W,Central  &  Western,中西區,1964-12-24,3484,23735
GULLANE ROAD,嘉齡道,KC,Kowloon  City,九龍城,1950-09-15,1083,18521
HA CHUK YUEN ROAD,下竹園路,YL,Yuen Long,元朗,2000-03-31,2031,36616
HA HEUNG ROAD,下鄉道,KC,Kowloon  City,九龍城,1926-06-25,342,9673
HA KO TAN STREET,下高灘街,K&T,Kwai  Tsing,葵青,1985-03-22,915,31128
HA MEI ROAD,廈尾路,YL,Yuen Long,元朗,1993-12-10,4541,34313
HA MEI ROAD,廈尾路,YL,Yuen Long,元朗,2013-05-10,2719,41404
HA MEI SAN TSUEN ROAD,蝦尾新村路,YL,Yuen Long,元朗,1998-07-24,3590,36000
HA SAN WAI ROAD,下新圍路,YL,Yuen Long,元朗,2000-03-31,2031,36616
HA TSUEN ROAD,廈村路,YL,Yuen Long,元朗,2008-02-06,907,39484
HA WAN TSUEN EAST ROAD,下灣村東路,YL,Yuen Long,元朗,2015-01-02,166,42006
HA WAN TSUEN ROAD,下灣村路,YL,Yuen Long,元朗,2015-01-02,166,42006
HA YEUNG ROAD,下洋路,SK,Sai  Kung,西貢,1991-10-11,3622,33522
HA YEUNG SAN TSUEN ROAD,下洋新村路,SK,Sai  Kung,西貢,1991-10-11,3622,33522
HAI TAN STREET,海壇街,SSP,Sham  Shui  Po,深水埗,1927-11-25,699,10191
HAIPHONG ROAD,海防道,YTM,Yau Tsim Mong,油尖旺,1909-03-19,184,3366
HAK PAI ROAD,黑排路,Is,Islands,離島,1983-08-12,2627,30540
HAK PO STREET,黑布街,YTM,Yau Tsim Mong,油尖旺,1924-08-29,492,9008
HAM TIN STREET,鹹田街,TW,Tsuen  Wan,荃灣,1962-11-23,2378,22973
HAM TIN STREET,鹹田街,TW,Tsuen  Wan,荃灣,2004-12-17,8102,38338
HAMMER HILL ROAD,斧山道,WTS,Wong Tai Sin,黃大仙,1956-11-16,1468,20775
HAMMER HILL ROAD,斧山道,WTS,Wong Tai Sin,黃大仙,1972-07-28,1872,26508
HAMMER HILL ROAD,斧山道,WTS,Wong Tai Sin,黃大仙,2017-04-21,2427,42846
HAMMER HILL ROAD,斧山道,WTS,Wong Tai Sin,黃大仙,2017-04-21,2429,42846
HAMPSHIRE ROAD,衡州道,KC,Kowloon  City,九龍城,1951-05-18,522,18766
HANG CHEUNG STREET,幸祥街,SSP,Sham  Shui  Po,深水埗,1999-03-12,1362,36231
HANG CHI STREET,恆智街,ST,Sha Tin,沙田,2000-01-21,378,36546
HANG FAI STREET,恆輝街,ST,Sha Tin,沙田,1997-05-30,2704,35580
HANG FAI STREET,恆輝街,ST,Sha Tin,沙田,2000-01-21,378,36546
HANG FU STREET,恆富街,TM,Tuen  Mun,屯門,1996-02-16,804,35111
HANG HAU ROAD,坑口道,SK,Sai  Kung,西貢,1977-06-10,1311,28286
HANG HAU ROAD,坑口道,SK,Sai  Kung,西貢,1990-03-30,1118,32962
HANG HAU ROAD,坑口道,SK,Sai  Kung,西貢,1993-01-15,137,33984
HANG HAU WING LUNG ROAD,坑口永隆路,SK,Sai  Kung,西貢,1979-05-04,1131,28979
HANG HONG STREET,恆康街,ST,Sha Tin,沙田,1987-01-02,40,31779
HANG HONG STREET,恆康街,ST,Sha Tin,沙田,1993-11-19,4226,34292
HANG KAI LANE,坑溪里,TP,Tai  Po,大埔,2015-03-13,2181,42076
HANG KAM STREET,恆錦街,ST,Sha Tin,沙田,1991-05-03,1538,33361
HANG KIN STREET,恆健街,ST,Sha Tin,沙田,1997-05-30,2704,35580
HANG KWAI STREET,恆貴街,TM,Tuen  Mun,屯門,1996-02-16,804,35111
HANG KWONG STREET,恆光街,ST,Sha Tin,沙田,1993-11-19,4226,34292
HANG LOK LANE,恆樂里,ST,Sha Tin,沙田,1992-12-04,4337,33942
HANG MEI STREET,亨美街,K&T,Kwai  Tsing,葵青,1998-08-07,3856,36014
HANG MING STREET,恆明街,ST,Sha Tin,沙田,1997-05-30,2704,35580
HANG ON STREET,恆安街,KT,Kwun Tong,觀塘,1957-02-22,264,20873
HANG PING STREET,坑坪街,K&T,Kwai  Tsing,葵青,1970-03-06,535,25633
HANG SHIN LINK,行善里,ST,Sha Tin,沙田,1994-10-21,3990,34628
HANG SHING STREET,恆城街,ST,Sha Tin,沙田,1986-01-17,245,31429
HANG SHUN STREET,恆信街,ST,Sha Tin,沙田,1987-01-02,40,31779
HANG SHUN STREET,恆信街,ST,Sha Tin,沙田,2003-05-30,3667,37771
HANG TAI ROAD,恆泰路,ST,Sha Tin,沙田,2000-01-21,378,36546
HANG TAK STREET,恆德街,ST,Sha Tin,沙田,1987-01-02,40,31779
HANG TAU ROAD,坑頭路,N,North,北區,1977-05-20,1134,28265
HANG WAN ROAD,幸運道,KC,Kowloon  City,九龍城,1988-03-18,881,32220
HANG YIP STREET,恆業街,KT,Kwun Tong,觀塘,1991-08-02,2729,33452
HANG YIU STREET,恆耀街,ST,Sha Tin,沙田,2000-01-21,378,36546
HANKOW ROAD,漢口道,YTM,Yau Tsim Mong,油尖旺,1909-03-19,184,3366
HANOI ROAD,河內道,YTM,Yau Tsim Mong,油尖旺,1909-03-19,184,3366
HARBOUR DRIVE,港灣徑,WC,Wan  Chai,灣仔,1984-06-29,1900,30862
HARBOUR ROAD,港灣道,WC,Wan  Chai,灣仔,1972-07-07,1666,26487
HARBOUR VIEW STREET,港景街,C&W,Central  &  Western,中西區,1974-05-31,1381,27180
HARCOURT ROAD,夏慤道,C&W-WC,Central  &  Western / Wan  Chai,中西區 / 灣仔,1961-04-07,575,22378
HARLECH ROAD,夏力道,C&W-S,Central  &  Western / Southern,中西區 / 南區,1904-08-19,588,1693
HARLECH ROAD,夏力道,C&W-S,Central  &  Western / Southern,中西區 / 南區,1959-02-13,245,21594
HARMONY ROAD,富欣道,E,Eastern,東區,1998-05-01,2182,35916
HART AVENUE,赫德道,YTM,Yau Tsim Mong,油尖旺,1909-05-28,323,3436
HATTON ROAD,克頓道,C&W,Central  &  Western,中西區,1906-08-03,662,2407
HAU CHEUNG STREET,巧翔街,YTM,Yau Tsim Mong,油尖旺,2000-11-10,7397,36840
HAU FOOK STREET,厚福街,YTM,Yau Tsim Mong,油尖旺,1978-04-28,1051,28608
HAU MAN STREET,孝民街,KC,Kowloon  City,九龍城,1975-05-02,996,27516
HAU TAK LANE,厚德里,WC,Wan  Chai,灣仔,1959-09-11,1258,21804
HAU TEI SQUARE,鱟地坊,TW,Tsuen  Wan,荃灣,1963-06-21,1134,23183
HAU TUNG STREET,孝東街,Is,Islands,離島,2025-07-25,4611,45863
HAU WONG ROAD,侯王道,KC,Kowloon  City,九龍城,1933-05-12,340,12186
HAU YUEN PATH,校園徑,E,Eastern,東區,1984-10-19,3075,30974
HAVEN OF HOPE ROAD,靈實路,SK,Sai  Kung,西貢,1998-02-20,833,35846
HAVEN STREET,希雲街,WC,Wan  Chai,灣仔,1931-03-20,172,11402
HAWTHORN ROAD,荷塘道,WC,Wan  Chai,灣仔,1940-02-07,154,14648
HEADLAND DRIVE,朝暉徑,Is,Islands,離島,1994-11-18,4386,34656
HEADLAND ROAD,赫蘭道,S,Southern,南區,1949-12-09,1189,18241
HEALTHY STREET CENTRAL,健康中街,E,Eastern,東區,1960-08-12,1217,22140
HEALTHY STREET EAST,健康東街,E,Eastern,東區,1958-09-12,1260,21440
HEALTHY STREET WEST,健康西街,E,Eastern,東區,1958-09-12,1260,21440
HEI TUNG STREET,喜東街,Is,Islands,離島,1998-06-19,2978,35965
HEI TUNG STREET,喜東街,Is,Islands,離島,2008-06-13,4021,39612
HEI WO STREET,熙和街,E,Eastern,東區,1956-03-16,355,20530
HEI YUEN STREET,戲院街,TP,Tai  Po,大埔,1936-04-17,360,13257
HEI YUEN STREET,戲院街,TP,Tai  Po,大埔,1961-11-10,1975,22595
HENDERSON ROAD,軒德蓀道,WC,Wan  Chai,灣仔,1951-07-20,754,18829
HENG LAM STREET,杏林街,WTS,Wong Tai Sin,黃大仙,1966-08-26,2195,24345
HENNESSY ROAD,軒尼詩道,WC,Wan  Chai,灣仔,1929-06-14,312,10758
HEREFORD ROAD,禧福道,KC,Kowloon  City,九龍城,1951-05-18,522,18766
HEUNG CHE STREET,香車街,TW,Tsuen  Wan,荃灣,1963-06-21,1134,23183
HEUNG CHUNG ROAD,響鐘路,SK,Sai  Kung,西貢,2002-02-15,1000,37302
HEUNG FAN LIU STREET,香粉寮街,ST,Sha Tin,沙田,1983-12-23,3977,30673
HEUNG LIN ROAD,香蓮路,N,North,北區,2023-02-17,1075,44974
HEUNG SHING STREET,享成街,TW,Tsuen  Wan,荃灣,1970-03-06,535,25633
HEUNG SZE WUI SQUARE,鄉事會坊,TP,Tai  Po,大埔,1972-05-05,1092,26424
HEUNG SZE WUI STREET,鄉事會街,TP,Tai  Po,大埔,1972-05-05,1092,26424
HEUNG TSZ ROAD,鄉梓路,N,North,北區,2022-12-30,7562,44925
HEUNG WO STREET,享和街,TW,Tsuen  Wan,荃灣,1970-03-06,535,25633
HEUNG YIP PATH,香葉徑,S,Southern,南區,2017-04-07,1922,42832
HEUNG YIP ROAD,香葉道,S,Southern,南區,1972-09-29,2466,26571
HEUNG YIP ROAD,香葉道,S,Southern,南區,1974-05-31,1383,27180
HEUNG YIP ROAD,香葉道,S,Southern,南區,1975-02-07,351,27432
HEUNG YIP ROAD,香葉道,S,Southern,南區,2025-04-25,2547,45772
HEUNG YUEN WAI HIGHWAY,香園圍公路,N-TP,North / Tai  Po,北區 / 大埔,2019-02-01,1094,43497
HI LEE PATH,喜利徑,YL,Yuen Long,元朗,1983-06-03,1752,30470
HI SHI ROAD,喜士路,Is,Islands,離島,1989-10-06,3495,32787
HI TAI STREET,喜泰街,ST,Sha Tin,沙田,2000-01-21,378,36546
HI YIP STREET,喜業街,YL,Yuen Long,元朗,1983-01-28,325,30344
HIGH STREET,高街,C&W,Central  &  Western,中西區,1928-06-15,338,10394
HILL ROAD,山道,C&W,Central  &  Western,中西區,1936-11-20,918,13474
HILL ROAD,山道,C&W,Central  &  Western,中西區,1936-11-20,918,13474
HILL SIDE TERRACE,山坡臺,WC,Wan  Chai,灣仔,1959-02-27,315,21608
HILLTOP ROAD,顯達路,TW,Tsuen  Wan,荃灣,1981-04-16,1146,29692
HILLWOOD ROAD,山林道,YTM,Yau Tsim Mong,油尖旺,1933-05-12,341,12186
HIN FAT LANE,顯發里,TM,Tuen  Mun,屯門,1989-06-09,1978,32668
HIN HONG STREET,顯康街,ST,Sha Tin,沙田,1985-07-26,2430,31254
HIN KENG STREET,顯徑街,ST,Sha Tin,沙田,1984-06-15,1737,30848
HIN KWAI LANE,顯貴里,ST,Sha Tin,沙田,1995-09-08,3630,34950
HIN KWAI LANE,顯貴里,ST,Sha Tin,沙田,1995-09-15,3734,34957
HIN TAI STREET,顯泰街,ST,Sha Tin,沙田,1985-07-26,2430,31254
HIN TIN STREET,顯田街,ST,Sha Tin,沙田,1986-10-10,3517,31695
HIN WO LANE,顯和里,ST,Sha Tin,沙田,1986-10-10,3517,31695
HIN WO LANE,顯和里,ST,Sha Tin,沙田,2006-03-31,2189,38807
HING CHOI STREET,興才街,TM,Tuen  Mun,屯門,1989-06-09,1978,32668
HING FAT STREET,興發街,WC,Wan  Chai,灣仔,1921-05-06,208,7797
HING FAT STREET,興發街,WC,Wan  Chai,灣仔,1987-03-20,933,31856
HING FONG ROAD,興芳路,K&T,Kwai  Tsing,葵青,1974-04-19,1023,27138
HING FONG ROAD,興芳路,K&T,Kwai  Tsing,葵青,1979-01-05,44,28860
HING FONG ROAD,興芳路,K&T,Kwai  Tsing,葵青,2001-04-12,2401,36993
HING FU STREET,興富街,TM,Tuen  Mun,屯門,1992-05-29,1862,33753
HING FU STREET,興富街,TM,Tuen  Mun,屯門,2001-09-21,5853,37155
HING KENG SHEK ROAD,慶徑石路,SK,Sai  Kung,西貢,1991-07-05,2294,33424
HING KWAI STREET,興貴街,TM,Tuen  Mun,屯門,1992-05-29,1862,33753
HING KWAI STREET,興貴街,TM,Tuen  Mun,屯門,2020-10-23,6117,44127
HING LEE STREET,興利街,Is,Islands,離島,1985-10-18,3454,31338
HING LUNG BACK STREET,興隆後街,Is,Islands,離島,1985-07-05,2166,31233
HING LUNG MAIN STREET,興隆正街,Is,Islands,離島,1985-07-05,2166,31233
HING MAN STREET,興民街,E,Eastern,東區,1937-06-04,387,13670
HING NING ROAD,興寧路,K&T,Kwai  Tsing,葵青,1991-11-15,4113,33557
HING ON LANE,興安里,TM,Tuen  Mun,屯門,1989-06-09,1978,32668
HING PING ROAD,慶平路,TM,Tuen  Mun,屯門,1984-11-30,3531,31016
HING PING ROAD,慶平路,TM,Tuen  Mun,屯門,1999-04-09,1946,36259
HING SHING ROAD,興盛路,K&T,Kwai  Tsing,葵青,1974-04-19,1023,27138
HING TIN STREET,慶田街,KT,Kwun Tong,觀塘,2003-09-11,6274,37875
HING TUNG STREET,慶東街,Is,Islands,離島,1997-04-25,2008,35545
HING WAH STREET,興華街,SSP,Sham  Shui  Po,深水埗,1934-02-09,91,12459
HING WAH STREET,興華街,SSP,Sham  Shui  Po,深水埗,1974-05-31,1385,27180
HING WAH STREET WEST,興華街西,SSP,Sham  Shui  Po,深水埗,1998-07-03,3230,35979
HING WO STREET,興和街,S,Southern,南區,1974-05-31,1379,27180
HING WONG STREET,興旺街,TM,Tuen  Mun,屯門,1975-08-01,1693,27607
HING YAN STREET,興仁街,KC,Kowloon  City,九龍城,1959-05-15,670,21685
HING YIN STREET,興賢街,KC,Kowloon  City,九龍城,1959-05-15,670,21685
HING YIP STREET,興業街,KT,Kwun Tong,觀塘,1957-02-22,264,20873
HIP WO LANE,協和里,WC,Wan  Chai,灣仔,1956-10-12,1306,20740
HIP WO STREET,協和街,KT,Kwun Tong,觀塘,1957-02-22,264,20873
HIP WO STREET,協和街,KT,Kwun Tong,觀塘,1963-08-02,1479,23225
HIP YAN STREET,協欣街,ST,Sha Tin,沙田,1983-12-23,3977,30673
HIRAM'S HIGHWAY,西貢公路,SK,Sai  Kung,西貢,1977-06-10,1311,28286
HIU KWONG STREET,曉光街,KT,Kwun Tong,觀塘,1967-03-10,537,24541
HIU MING STREET,曉明街,KT,Kwun Tong,觀塘,1967-03-10,537,24541
HIU PO PATH,曉波徑,SK,Sai  Kung,西貢,1991-09-20,3343,33501
HIU TSUI STREET,曉翠街,E,Eastern,東區,1990-03-02,779,32934
HIU TUNG ROAD,曉東路,Is,Islands,離島,2025-07-25,4611,45863
HIU WAN ROAD,曉運路,TP,Tai  Po,大埔,1995-10-13,4259,34985
